Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pipes/sinkNull/monadic,4.848737088276359e-6,4.8367787093469936e-6,4.876822574250582e-6,6.198228965191772e-8,3.19833413656807e-8,1.0878178566111926e-7
pipes/sinkNull/yielding,4.946841838397408e-6,4.9283470876005245e-6,4.9904991009164935e-6,9.096848154302197e-8,4.28273141388177e-8,1.5075563666088036e-7
pipes/sinkList/monadic,1.8574818599510597e-5,1.8509276673418058e-5,1.8682900263259728e-5,2.6875765210087605e-7,1.8308593473542728e-7,4.2609434169927535e-7
pipes/sinkList/yielding,1.700379148305557e-5,1.6918647789749708e-5,1.714558758325576e-5,3.6568685883786876e-7,2.475929855315145e-7,5.220593851526452e-7
pipes/foldl/monadic,8.968394314291828e-5,8.922539794754772e-5,9.080378100968216e-5,2.2114028682269285e-6,8.592653861086252e-7,4.07657006527052e-6
pipes/foldl/yielding,7.744192445690006e-5,7.67605519008624e-5,7.863439655293668e-5,3.0226750454649193e-6,2.195783160535767e-6,4.559785369024484e-6
pipes/scanl/monadic,1.2314931889433972e-4,1.228346878730889e-4,1.2369322807454126e-4,1.4534833714128789e-6,8.856465027861247e-7,2.551007168515241e-6
pipes/scanl/yielding,1.2327253363836953e-4,1.2287394916996296e-4,1.2380250595045363e-4,1.4900875942696972e-6,1.056085668459333e-6,2.2294787219017168e-6
pipes/dropWhile/monadic,8.624812275499865e-5,8.597242145328771e-5,8.710140745603139e-5,1.4631628756783693e-6,6.178014704795541e-7,3.026290196764884e-6
pipes/dropWhile/yielding,7.918112038560922e-5,7.853027212891087e-5,8.016111288235466e-5,2.664846540617261e-6,1.8574142912019283e-6,4.230362250795043e-6
pipes/takeWhile/monadic,1.1262016200813693e-4,1.1230840708530367e-4,1.1306600472008267e-4,1.3113835489028633e-6,9.82349286733125e-7,2.004820469510411e-6
pipes/takeWhile/yielding,1.1333667025702458e-4,1.1293181233741423e-4,1.1391000571719747e-4,1.5899120494574691e-6,1.234173829888208e-6,2.269113712670632e-6
pipes/identity/monadic,9.433263739082891e-5,9.417687042415574e-5,9.452457136942811e-5,5.916989329438988e-7,4.55622961442819e-7,9.283363468246316e-7
pipes/identity/yielding,9.485940233473085e-5,9.458473742988745e-5,9.527582081730345e-5,1.1147180875322594e-6,8.362284476919696e-7,1.5860701546361665e-6
pipes/map/monadic,1.1231038247148877e-4,1.1205344700249155e-4,1.1263689113536813e-4,9.908328990431103e-7,7.893355024475562e-7,1.5258406903898658e-6
pipes/map/yielding,1.1500671636985051e-4,1.1389222373271646e-4,1.1756815547156319e-4,5.287579550572049e-6,2.7918799079576694e-6,1.024882749518608e-5
pipes/filter/monadic,9.77939945588745e-5,9.75105691180478e-5,9.812597804571393e-5,1.034139917116292e-6,8.638345638166297e-7,1.2472895301374068e-6
pipes/filter/yielding,9.824322015997925e-5,9.783074568892378e-5,9.901224364159576e-5,1.8500703593276546e-6,1.0063026962438843e-6,3.0277636850027223e-6
cont/maybe,1.7638951775548395e-5,1.7534300285775424e-5,1.7887080614567068e-5,5.25176184845096e-7,1.4486401504955126e-7,8.699135835849963e-7
cont/term,1.552665822270943e-5,1.547527288704393e-5,1.561454663045376e-5,2.1885330789848293e-7,1.2418956537132285e-7,3.5094285398661547e-7
cont/stall,1.5038151614138876e-5,1.4985018483824236e-5,1.5204897384813413e-5,2.752284653720899e-7,1.119738036885995e-7,5.401002242891784e-7
cont/term4,2.3017051823986325e-5,2.2911392070959078e-5,2.3176561932110652e-5,4.253458060663773e-7,3.119023400316625e-7,5.76464385044544e-7
compare/n_stages/2/conduit,3.6944105671055634e-3,3.6837590741910335e-3,3.7093803718985323e-3,4.083785491892757e-5,2.6425674955802083e-5,6.759083037171287e-5
compare/n_stages/2/piped,2.588624517948646e-3,2.5801354185178435e-3,2.6025417940354753e-3,3.811620502044781e-5,2.5681527229318224e-5,5.506895036238604e-5
compare/n_stages/4/conduit,8.227268342018052e-3,8.20842576720585e-3,8.262672661790744e-3,7.12513487167475e-5,4.926754403323134e-5,1.1058425574653628e-4
compare/n_stages/4/piped,3.9352000416141356e-3,3.914132428830105e-3,3.979351327680779e-3,9.518763649394541e-5,3.996087182439948e-5,1.544806287236668e-4
